stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url
103RD-UP, 103rd St. (Rosemoor) Metra, , 41.7069444, -87.6072222, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.103RD-UP.html
107TH-UP, 107th St. Metra, , 41.6997222, -87.6088889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.107TH-UP.html
111TH-UP, 111th St. (Pullman) Metra, , 41.6927778, -87.6105556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.111TH-UP.html
STONYISLND, Stony Island Metra, , 41.7661111, -87.5869444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.STONYISLND.html
BRYNMAWR, Bryn Mawr Metra, , 41.7661111, -87.5766667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.BRYNMAWR.html
SOUTHSHORE, South Shore Metra, , 41.7652778, -87.5658333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.SOUTHSHORE.html
WINDSORPK, Windsor Park Metra, , 41.7586111, -87.5594444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.WINDSORPK.html
79TH-SC, Cheltenham (79th St.) Metra, , 41.7522222, -87.5525000, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.79TH-SC.html
83RD-SC, 83rd St. Metra, , 41.7450000, -87.5516667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.83RD-SC.html
87TH-SC, 87th St. Metra, , 41.7377778, -87.5483333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.87TH-SC.html
93RD-SC, South Chicago (93rd) Metra, , 41.7266667, -87.5477778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/me/station.93RD-SC.html
LSS, LaSalle Street Metra, , 41.8763889, -87.6322222, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.LSS.html
GRESHAM, Gresham Metra, , 41.7363889, -87.6447222, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.GRESHAM.html
VERMONT, Blue Island-Vermont Metra, , 41.6547222, -87.6777778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.VERMONT.html
LONGWOOD, 95th St.-Longwood Metra, , 41.7211111, -87.6502778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.LONGWOOD.html
WASHHGTS, 103rd St.-Washington Hts. Metra, , 41.7055556, -87.6558333, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.WASHHGTS.html
BRAINERD, Brainerd Metra, , 41.7322222, -87.6588889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.BRAINERD.html
